year,region,round,t1Name,t1Rank,t1Score,t1Win,t2Name,t2Rank,t2Score,t2Win
2011,"Southeast Regional – New Orleans, Louisiana",round1,UCLA,7,78,True,Michigan State,10,76,False
2011,"Southeast Regional – New Orleans, Louisiana",round2,UCLA,7,65,False,Florida,2,73,True
2011,"Southeast Regional – New Orleans, Louisiana",round1,Florida,2,79,True,UC Santa Barbara,15,51,False
2011,"Final Four – Reliant Stadium, Houston, Texas",round5,Kentucky,E4,55,False,Connecticut,W3,56,True
2011,"Final Four – Reliant Stadium, Houston, Texas",round6,Connecticut,W3,53,True,Butler,SE8,41,False
2011,"Final Four – Reliant Stadium, Houston, Texas",round5,VCU,SW11,62,False,Butler,SE8,70,True
2012,"South Regional – Atlanta, Georgia",round1,Kentucky,1,81,True,Western Kentucky,16,66,False
2012,"South Regional – Atlanta, Georgia",round2,Kentucky,1,87,True,Iowa State,8,71,False
2012,"South Regional – Atlanta, Georgia",round1,Iowa State,8,77,True,Connecticut,9,64,False
2012,"South Regional – Atlanta, Georgia",round3,Kentucky,1,102,True,Indiana,4,90,False
2012,"South Regional – Atlanta, Georgia",round1,Wichita State,5,59,False,VCU,12,62,True
2012,"South Regional – Atlanta, Georgia",round2,VCU,12,61,False,Indiana,4,63,True
2012,"South Regional – Atlanta, Georgia",round1,Indiana,4,79,True,New Mexico State,13,66,False
2012,"South Regional – Atlanta, Georgia",round4,Kentucky,1,82,True,Baylor,3,70,False
2012,"South Regional – Atlanta, Georgia",round1,UNLV,6,64,False,Colorado,11,68,True
2012,"South Regional – Atlanta, Georgia",round2,Colorado,11,63,False,Baylor,3,80,True
2012,"South Regional – Atlanta, Georgia",round1,Baylor,3,68,True,South Dakota State,14,60,False
2012,"South Regional – Atlanta, Georgia",round3,Baylor,3,75,True,Xavier,10,70,False
2012,"South Regional – Atlanta, Georgia",round1,Notre Dame,7,63,False,Xavier,10,67,True
2012,"South Regional – Atlanta, Georgia",round2,Xavier,10,70,True,Lehigh,15,58,False
2012,"South Regional – Atlanta, Georgia",round1,Duke,2,70,False,Lehigh,15,75,True
2012,"West Regional – Phoenix, Arizona",round1,Michigan State,1,89,True,Long Island,16,67,False
2012,"West Regional – Phoenix, Arizona",round2,Michigan State,1,65,True,Saint Louis,9,61,False
2012,"West Regional – Phoenix, Arizona",round1,Memphis,8,54,False,Saint Louis,9,61,True
2012,"West Regional – Phoenix, Arizona",round3,Michigan State,1,44,False,Louisville,4,57,True
2012,"West Regional – Phoenix, Arizona",round1,New Mexico,5,75,True,Long Beach State,12,68,False
2012,"West Regional – Phoenix, Arizona",round2,New Mexico,5,56,False,Louisville,4,59,True
2012,"West Regional – Phoenix, Arizona",round1,Louisville,4,69,True,Davidson,13,62,False
2012,"West Regional – Phoenix, Arizona",round4,Louisville,4,72,True,Florida,7,68,False
2012,"West Regional – Phoenix, Arizona",round1,Murray State,6,58,True,Colorado State,11,41,False
2012,"West Regional – Phoenix, Arizona",round2,Murray State,6,53,False,Marquette,3,62,True
2012,"West Regional – Phoenix, Arizona",round1,Marquette,3,88,True,BYU,14,68,False
2012,"West Regional – Phoenix, Arizona",round3,Marquette,3,58,False,Florida,7,68,True
2012,"West Regional – Phoenix, Arizona",round1,Florida,7,71,True,Virginia,10,45,False
2012,"West Regional – Phoenix, Arizona",round2,Florida,7,84,True,Norfolk State,15,50,False
2012,"West Regional – Phoenix, Arizona",round1,Missouri,2,84,False,Norfolk State,15,86,True
2012,"East Regional – Boston, Massachusetts",round1,Syracuse,1,72,True,UNC Asheville,16,65,False
2012,"East Regional – Boston, Massachusetts",round2,Syracuse,1,75,True,Kansas State,8,59,False
2012,"East Regional – Boston, Massachusetts",round1,Kansas State,8,70,True,Southern Miss,9,64,False
2012,"East Regional – Boston, Massachusetts",round3,Syracuse,1,64,True,Wisconsin,4,63,False
2012,"East Regional – Boston, Massachusetts",round1,Vanderbilt,5,79,True,Harvard,12,70,False
2012,"East Regional – Boston, Massachusetts",round2,Vanderbilt,5,57,False,Wisconsin,4,60,True
2012,"East Regional – Boston, Massachusetts",round1,Wisconsin,4,73,True,Montana,13,49,False
2012,"East Regional – Boston, Massachusetts",round4,Syracuse,1,70,False,Ohio State,2,77,True
2012,"East Regional – Boston, Massachusetts",round1,Cincinnati,6,65,True,Texas,11,59,False
2012,"East Regional – Boston, Massachusetts",round2,Cincinnati,6,62,True,Florida State,3,56,False
2012,"East Regional – Boston, Massachusetts",round1,Florida State,3,66,True,St. Bonaventure,14,63,False
2012,"East Regional – Boston, Massachusetts",round3,Cincinnati,6,66,False,Ohio State,2,81,True
2012,"East Regional – Boston, Massachusetts",round1,Gonzaga,7,77,True,West Virginia,10,54,False
2012,"East Regional – Boston, Massachusetts",round2,Gonzaga,7,66,False,Ohio State,2,73,True
2012,"East Regional – Boston, Massachusetts",round1,Ohio State,2,78,True,Loyola (MD),15,59,False
2012,"Midwest Regional – St. Louis, Missouri",round1,North Carolina,1,77,True,Vermont,16,58,False
2012,"Midwest Regional – St. Louis, Missouri",round2,North Carolina,1,87,True,Creighton,8,73,False
2012,"Midwest Regional – St. Louis, Missouri",round1,Creighton,8,58,True,Alabama,9,57,False
2012,"Midwest Regional – St. Louis, Missouri",round3,North Carolina,1,73*,True,Ohio,13,65,False
2012,"Midwest Regional – St. Louis, Missouri",round1,Temple,5,44,False,South Florida,12,58,True
2012,"Midwest Regional – St. Louis, Missouri",round2,South Florida,12,56,False,Ohio,13,62,True
2012,"Midwest Regional – St. Louis, Missouri",round1,Michigan,4,60,False,Ohio,13,65,True
2012,"Midwest Regional – St. Louis, Missouri",round4,North Carolina,1,67,False,Kansas,2,80,True
2012,"Midwest Regional – St. Louis, Missouri",round1,San Diego State,6,65,False,North Carolina State,11,79,True
2012,"Midwest Regional – St. Louis, Missouri",round2,North Carolina State,11,66,True,Georgetown,3,63,False
2012,"Midwest Regional – St. Louis, Missouri",round1,Georgetown,3,74,True,Belmont,14,59,False
2012,"Midwest Regional – St. Louis, Missouri",round3,North Carolina State,11,57,False,Kansas,2,60,True
2012,"Midwest Regional – St. Louis, Missouri",round1,Saint Mary's,7,69,False,Purdue,10,72,True
2012,"Midwest Regional – St. Louis, Missouri",round2,Purdue,10,60,False,Kansas,2,63,True
2012,"Midwest Regional – St. Louis, Missouri",round1,Kansas,2,65,True,Detroit,15,50,False
2012,"Final Four – Mercedes-Benz Superdome, New Orleans, Louisiana",round5,Kentucky,S1,69,True,Louisville,W4,61,False
2012,"Final Four – Mercedes-Benz Superdome, New Orleans, Louisiana",round6,Kentucky,S1,67,True,Kansas,MW2,59,False
2012,"Final Four – Mercedes-Benz Superdome, New Orleans, Louisiana",round5,Ohio State,E2,62,False,Kansas,MW2,64,True
